name,origin_system,destination_system,cargo_type,mass_kg,status
Psionic Amplifier Arrays — Manifest #0073,HD 40307g,Gliese 667Cc,biological,48344.79,in_transit
Subspace Field Generators — Manifest #0074,Gliese 667Cc,K2-18b,quantum_cells,33979.11,delayed
Antimatter Containment Pods — Manifest #0075,Gliese 667Cc,Kepler-442b,antimatter,8936.61,in_transit
Warp Coil Assemblies — Manifest #0076,Kepler-442b,Proxima Centauri b,quantum_cells,17290.9,in_transit
Subspace Field Generators — Manifest #0077,HD 40307g,Ross 128b,biological,19265.92,delayed
Quantum Flux Regulators — Manifest #0078,ScyllaDB Prime,Gliese 667Cc,quantum_cells,94.55,delayed
Nanite Repair Kits — Manifest #0079,Ross 128b,K2-18b,nanites,21570.56,quarantined
Zero-Point Energy Cells — Manifest #0080,Gliese 667Cc,Ross 128b,biological,35990.52,in_transit
Chronoton Particle Filters — Manifest #0081,Wolf 1061c,Cassandra Station,nanites,20126.0,in_transit
Nanite Repair Kits — Manifest #0082,Wolf 1061c,Proxima Centauri b,quantum_cells,33249.82,delivered
Warp Coil Assemblies — Manifest #0083,Ross 128b,Proxima Centauri b,neural_gel,15054.48,delayed
Dimensional Rift Stabilizers — Manifest #0084,Kepler-442b,Gliese 667Cc,exotic_matter,21500.11,delayed
Zero-Point Energy Cells — Manifest #0085,LHS 1140b,K2-18b,dark_matter,22094.88,quarantined
Ion Drive Regulators — Manifest #0086,ScyllaDB Prime,LHS 1140b,mechanical,32945.95,in_transit
Warp Coil Assemblies — Manifest #0087,Wolf 1061c,K2-18b,nanites,4678.43,manifested
Exotic Matter Canisters — Manifest #0088,Ross 128b,Cassandra Station,exotic_matter,7376.22,pending
Warp Coil Assemblies — Manifest #0089,ScyllaDB Prime,Wolf 1061c,biological,22776.25,quarantined
Tachyon Burst Capacitors — Manifest #0090,LHS 1140b,ScyllaDB Prime,dark_matter,19988.65,manifested
Antimatter Containment Pods — Manifest #0091,Ross 128b,Kepler-442b,quantum_cells,10949.87,quarantined
Quantum Flux Regulators — Manifest #0092,Wolf 1061c,Tau Ceti e,stellar_ore,12467.42,pending
Plasma Core Manifolds — Manifest #0093,Tau Ceti e,Proxima Centauri b,stellar_ore,49394.74,delayed
Warp Coil Assemblies — Manifest #0094,Gliese 667Cc,Wolf 1061c,stellar_ore,21342.77,delayed
Ion Drive Regulators — Manifest #0095,Tau Ceti e,Proxima Centauri b,dark_matter,12966.99,manifested
Subspace Field Generators — Manifest #0096,Ross 128b,Cassandra Station,dark_matter,31341.15,in_transit
Dimensional Rift Stabilizers — Manifest #0097,Tau Ceti e,TRAPPIST-1e,exotic_matter,13593.04,in_transit
Dark Matter Shielding Panels — Manifest #0098,Wolf 1061c,TRAPPIST-1e,mechanical,11570.76,quarantined
Neural Processing Units — Manifest #0099,Proxima Centauri b,Cassandra Station,quantum_cells,20385.89,delayed
Quantum Flux Regulators — Manifest #0100,Tau Ceti e,HD 40307g,exotic_matter,41646.23,delivered
